Date,Meal,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron
2016-10-03,Breakfast,760.0,35.0,9.0,9.0,14.0,0.0,10.0,1380.0,0.0,62.0,10.0,20.0,50.0,8.0,0.0,20.0,20.0
2016-10-03,Lunch,760.0,35.0,9.0,9.0,14.0,0.0,10.0,1380.0,0.0,62.0,10.0,20.0,50.0,8.0,0.0,20.0,20.0
2016-10-03,Dinner,885.0,53.5,14.0,0.0,0.0,0.0,185.0,2365.0,0.0,45.0,3.0,12.0,60.0,60.0,24.0,95.0,19.0
2016-10-03,Snacks,240.0,2.0,1.0,0.0,0.0,0.0,60.0,260.0,0.0,6.0,0.0,2.0,48.0,0.0,0.0,16.0,4.0
2016-10-04,Breakfast,534.7,19.1,7.0,0.0,0.1,0.0,205.0,1349.5,232.3,66.0,5.0,7.0,24.6,8.0,0.0,15.9,25.3
2016-10-04,Lunch,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-04,Dinner,700.0,17.5,3.5,0.0,0.0,0.0,140.0,2310.0,0.0,70.0,28.0,7.0,66.5,0.0,35.0,49.0,42.0
2016-10-04,Snacks,1000.0,37.0,10.0,9.0,14.0,0.0,70.0,1640.0,0.0,68.0,10.0,22.0,98.0,8.0,0.0,36.0,24.0
2016-10-05,Breakfast,474.7,11.6,6.5,0.0,0.1,0.0,35.0,484.5,232.3,48.0,2.0,5.0,11.6,6.0,15.0,17.9,15.3
2016-10-05,Lunch,394.0,1.4,0.1,0.1,0.0,0.0,37.5,1339.5,227.0,73.8,12.1,28.8,24.1,36.0,20.5,4.0,26.5
2016-10-05,Dinner,760.0,35.0,9.0,9.0,14.0,0.0,10.0,1380.0,0.0,62.0,10.0,20.0,50.0,8.0,0.0,20.0,20.0
2016-10-05,Snacks,672.0,19.5,5.5,4.5,7.0,0.0,65.0,1010.0,0.0,49.0,7.7,18.7,74.3,194.0,4.0,28.0,18.0
2016-10-06,Breakfast,4.7,0.1,0.0,0.0,0.1,0.0,0.0,9.5,232.3,0.0,0.0,0.0,0.6,0.0,0.0,0.9,0.3
2016-10-06,Lunch,394.0,1.4,0.1,0.1,0.0,0.0,37.5,1339.5,227.0,73.8,12.1,28.8,24.1,36.0,20.5,4.0,26.5
2016-10-06,Dinner,760.0,35.0,9.0,9.0,14.0,0.0,10.0,1380.0,0.0,62.0,10.0,20.0,50.0,8.0,0.0,20.0,20.0
2016-10-06,Snacks,292.0,2.0,1.0,0.0,0.0,0.0,60.0,320.0,0.0,18.0,2.7,8.7,49.3,190.0,4.0,18.0,8.0
2016-10-07,Breakfast,328.7,7.6,4.2,0.0,0.1,0.0,24.5,536.0,400.3,51.7,3.8,0.7,11.0,4.2,0.0,4.3,18.3
