Date,Weight
2017-08-25,154.6
2017-08-28,156.4
2017-08-29,156.0
2017-08-30,155.0
2017-09-07,156.4
2017-09-08,156.4
2017-09-09,156.4
2017-09-10,158.8
2017-09-11,157.2
2017-09-12,156.6
2017-09-13,156.0
2017-09-14,155.2
2017-09-15,154.8
2017-09-16,153.8
2017-09-18,156.4
2017-09-19,155.2
2017-09-20,153.6
2017-09-21,154.2
2017-09-22,154.2
2017-09-23,155.4
2017-09-24,153.8
2017-09-25,153.8
2017-09-26,154.4
2017-09-27,154.6
2017-09-28,154.2
2017-09-29,151.8
2017-09-30,154.2
2017-10-02,155.4
2017-10-03,153.8
2017-10-04,153.8
2017-10-05,153.6
2017-10-06,152.6
2017-10-07,152.2
2017-10-08,151.4
2017-10-09,152.2
2017-10-10,152.8
2017-10-11,151.0
2017-10-12,151.8
2017-10-13,151.0
2017-10-14,148.8
2017-10-15,149.6
2017-10-16,150.2
2017-10-17,150.2
2017-10-18,149.2
2017-10-19,150.6
2017-10-20,150.0
2017-10-21,150.2
2017-10-22,149.2
2017-10-23,150.0
2017-10-24,150.0
2017-10-25,149.4
2017-10-26,149.6
2017-10-27,150.2
2017-10-28,149.4
2017-10-31,152.6
2017-11-01,151.8
2017-11-02,151.0
2017-11-03,150.0
2017-11-04,149.2
2017-11-06,150.4
2017-11-07,149.2
2017-11-08,148.0
2017-11-09,148.6
2017-11-10,149.0
2017-11-11,148.6
2017-11-13,151.8
2017-11-14,150.4
2017-11-15,149.6
2017-11-16,150.2
2017-11-17,148.8
2017-11-18,148.2
2017-11-20,148.8
2017-11-21,147.4
2017-11-22,148.6
2017-11-27,150.8
2017-11-28,150.6
2017-11-29,151.0
2017-11-30,150.2
2017-12-01,151.2
2017-12-02,150.8
2017-12-03,151.0
2017-12-05,151.4
2017-12-06,151.4
2017-12-07,151.4
2017-12-08,151.8
2017-12-10,150.4
2017-12-11,151.0
2017-12-12,152.2
2017-12-13,152.2
2017-12-14,150.6
2017-12-15,150.4
2017-12-16,150.6
2018-01-04,153.8
2018-01-05,155.0
2018-01-06,153.2
